Name,I_ID
100 MCG AS CALCIUM FOLINATE,
100 MCG AS FOLIC ACID,189
100 MCG AS VITAMIN K1,208
100 MCG AS VITAMIN K2,208
100 MCG GLUCOSINOLATES,
100 MCG OF OLIGOMERIC PROANTHOCYANIDINS,
100 MG AS NIACINAMIDE,204
100 MG GAMMA-LINOLENIC ACID,
100 MG OF CALCIUM ASPARTATE,27
100 MG OF CALCIUM CHELTATE,
100 MG OF LYCOPENE,
100 MG OF VEAL BONE,1923
100 MG PALMITIC ACID,
100 MG PHOSPHATIDYLSERINE,
100 MG QUERCETIN,1099
100 MG SILYMARIN,652
100 MG {ROSEMARY} SUPERCRITICAL EXTRACT,1189
100 MG {TURMERIC} HYDROETHANOLIC EXTRACT,48
100% ALOE VERA,6
100% ALOE VERA JUICE,6
100% CERTIFIED ORGANIC VITAMINS & MINERALS,800
100% EXTRACTS OF GREEN COFFEE,1754
100% HYDROLYZED WHEY AMINO ACIDS,2330
100% INSTANTIZED MICELLAR CASEIN,2416
100% KAVA ROOT POWDER,485
100% MCT OIL,1089
100% NATURAL BETA-CAROTENE,1016
100% NATURAL MIXED CAROTENOIDS,149
100% NATURAL PSYLLIUM HYDROPHILIC MUCILLOID,
100% NATURAL VITAMIN E,50
100% NORWEGIAN COD LIVER OIL,68
100% ORGANIC (FREEZE-DRIED) BEET (BETA VULGARIS) ROOT JUICE,1035
"100% ORGANIC AND KOSHER, COLD TEMPERATURE DRIED, CHLOROPHYLL",38
100% ORGANIC BROKEN-CELL WALL CHLORELLA,36
100% ORGANIC FREEZE DRIED GOJI BERRY POWDER,
100% ORGANIC GRASS JUICE PROPRIETARY BLEND,149
100% ORGANIC INGREDIENTS,800
100% ORGANIC WHOLE FOOD & HERB BLEND,398
100% PURE AGED ORGANIC NONI (MORINDA CITRIFOLIA) JUICE,301
100% PURE ALOE VERA,6
100% PURE BEE POLLEN,343
100% PURE BEE PROPOLIS,16
100% PURE BIO-CARTILAGE BRAND BOVINE CARTILAGE,
100% PURE BROKEN CELL WALL CHLORELLA,36
100% PURE BROKEN CELL WALL CHLORELLA POWDER,36
100% PURE BROKEN CELL WALL CHLORELLA TABLETS,
100% PURE CHRYSIN,386
100% PURE COLD-PRESSED ORGANIC FLAX SEED OIL,
100% PURE LIGNAN FLAX SEED OIL,67
100% PURE MALTODEXTRIN,1138
100% PURE MARINE CORAL CALCIUM,308
100% PURE NEPTUNE KRILL OIL,534
100% PURE ORGANIC ACAI (EUTERPE OLERACEA) BERRY JUICE,1
100% PURE ORGANIC ACAI BERRY JUICE,1
100% PURE ORGANIC MANGOSTEEN,512
100% PURE SPIRULINA AZTECA POWDER,1567
100% PURE SPIRULINA POWDER,1567
100% PURE SUPERBA KRILL OIL,534
"100% PURE, AGED ORGANIC NONI (MORINDA CITRIFOLIA) JUICE",301
"100% PURE, CERTIFIED ORGANICALLY GROWN, STEAM-COOKED (GELATINIZED) MACA",163
100% STRUCTURED LIPIDS MEDIUM-CHAIN TRIGLYCERIDE,1089
"100% STRUCTURED LIPIDS, MEDIUM-CHAIN TRIGLYCERIDE",149
100% TRANS-RESVERATROL,438
100% UNSTRIPPED WHEY PROTEIN CONCENTRATE,1690
100% USDA CERTIFIED ORGANIC GINGER,70
100% USDA CERTIFIED ORGANIC TURMERIC,48
100% WHOLE CHERRY FRUIT EXTRACT,
100% WHOLE FOOD NUTRIENTS,800
"100% WILDCRAFTED, ORGANIC AND TRUGANICALLY(TM) (HIGHER STANDARD THAN ORGANIC) GROWN PURE KALAMATH BLUE-GREEN ALGAE",59
1000 IU AS {VITAMIN A} PALMITATE,201
1000 MCG AS 6(S)-5-METHYLTETRAHYDROFOLIC ACID,
1000 MCG AS CALCIUM FOLINATE,
1000 MG OF 100% PURE COLD-PRESSED BORAGE OIL,1209
1000 MG OF NATURAL HYDROLYZED PROTEIN,107
1000-K PROPRIETARY BLEND,398
1000MG OF FISH OIL,68
100: 1 FRESH GARLIC EXTRACT,4
100:1 GARLIC OIL EXTRACT,4
100MG L-DOPA,
100MG TRANS-RESVERATROL,
1065MG OF HOODIA GORDONII POWDER,666
108 MG PHOSPHATIDYL INOSITOL,
10:1 ELDERBERRY FRUIT EXTRACT,63
10:1 EXTRACT BRASSAIOPSIS GLUMERULATA,
10:1 {CARALLUMA} CONCENTRATE,1261
10:1:1 BCAA COMPLEX,398
10MG LUTEIN,
10MG LYCOPENE,
10MG UNDENATURED TYPE II COLLAGEN,1463
11% AS PHOSPHATIDYL INOSITOL,1272
"11,20-DIHYDROXYECDYSONE",1273
11-HYDROXY YOHIMBINE,138
11-HYDROXY-YOHIMBINE,
11-HYDROXYYOHIMBINE,
11-KETO-BETA-BOSWELLIC ACID,360
11.5 MG POLYSACCHARIDES,150
110 MCG CRYPTOXANTHIN,
112.5 MG YOHIMBE EXTRACT,138
1160MG TOTAL ELECTROLYTE BLEND,398
117 MG OF TISSUE CONCENTRATES,800
12 MG AS IRON BISGLYCINATE,
12 MG ROSAVINS,
12% DHA,1010
12% OLEUROPEIN,
"12,500 IU FROM BETA CAROTENE",1016
12-STRAIN PROBIOTIC BLEND,
12.2 MG HYDROETHANOLIC EXTRACT,
12.5 MG ORGANIC SUPERCRITICAL EXTRACT,
12.5 MG YOHIMBINE ALKALOIDS,
12.6 MG OF MG CITRATE,
120 MG EGCG,1193
120 MG OF CAFFEINE,367
120 MG SALICIN,
125 MG OF TOTAL OMEGA-3 FATTY ACIDS,94
126 GDU OF BROMELAIN CONCENTRATE,196
126 GDU UNITS OF BROMELAIN CONCENTRATE,196
128 MG LINOLEIC ACID,
"13 -ETHYL-3-METHOXY-GONA-2,5 (10)-DIEN-17-ONE",
"13 -ETHYLE-3-METHOXY-GONA-2,5 (10)-DIEN-17-ONE",580
13 MG {HOPS} SUPERCRITICAL EXTRACT,466
13-ETHYL-3-METHOXY-GONA-2,
"13-ETHYL-3-METHOXY-GONA-2, 5(10)-DIENE-17-ONE",
"13-ETHYL-3-METHOXY-GONA-2,5(10)-DIEN-17-ONE",1631
"13-ETHYL-3-METHOXY-GONA-2,5(10)-DIENE-17-ONE",
"13-ETHYL-3-METHOXY-GONA-2,5(10)DIENE-17-ONE",
"13-ETHYL-3-METHOXY-GONA-2,5[10]-DIENE-17-ONE",
"13-ETHYL-3-METHOXY-GONA2,5 (10)-DIENE-17-ONE",
"13-ETHYLE-3-METHOXY-GONA-2,5,(10)-DIEN-17-ONE",280
13.5 MG ORGANIC SUPERCRITICAL EXTRACT,
130 MG ALPHA-LINOLENIC ACID,
130 MG GAMMA-LINOLENIC ACID,
130-175 MG DHA,1010
"13B-ETHYL-3-METHOXY-2,5(10)-GONE-DIENE-17-ONE",
14 MG OF CA ASPARTATE,
14% GINSENOSIDES,449
14% PHOSPHATIDYLINOSITOL,
14-DEOXYANDROGRAPHOLIDES,
14.4 MG OF GINKGO FLAVONE GLYCOSIDES,
1400 MG. SUPERFOOD - HERBAL BASE,398
1430 MG OF DHA CONCENTRATE,
15 BILLION LIVE CULTURES PER CAPSULE:,800
15 MG CATECHINS,119
15 MG FURAZAN,
15 MG OF NATURALLY OCCURRING CAFFEINE,367
15 MG ORGANIC ALOE POLYSACCHARIDES,
15 MG PROTEINASE INHIBITOR,
15 MG S. CEREVISIAE,362
15% ALPHA-MANGOSTIN,
15% GINGEROLS,
15% L-DOPA,
15% SALICIN,
15% SILYBIN,652
15% TANNINS,
"15,000 MCG BETA CAROTENE",
150 MCG AS ADENOSYLCOBALAMIN,1612
150 MG CAFFEINE,367
150 MG EICOSAPENTAENOIC ACID,
150 MG OF BOVINE TISSUE,
150 MG OF CAFFEINE ANHYDROUS,367
150 MG QUERCETIN,1099
150 MG {VALERIAN} HYDROETHANOLIC EXTRACT,131
150-360MCG IODINE,184
150MG CAFFEINE,367
155 MCG TRANS-ZEAXANTHIN,
16 MG AS NIACINAMIDE,204
16 MG HYDROETHANOLIC EXTRACT,
16 MG OF NATURALLY OCCURRING CAFFEINE,367
16 MG ORGANIC SUPERCRITICAL EXTRACT,
16 MG POWDER,
16 MG S. CEREVISIAE,362
16 MG {VALERIAN} SUPERCRITICAL EXTRACT,131
16% AS PHOSPHATIDYL ETHANOLAMINE,276
161 MG BOVINE TISSUE CONCENTRATES FROM,
161 MG OF BOVINE TISSUE CONCENTRATES FROM,
165 MG AS DIMACAL(R) DICALCIUM MALATE,
168 MG FROM CORAL,308
16:0 PALMITIC ACID,1603
"17 BETA-HYDROXY 2 ALPHA,17BETA-DIMETHYL 5 ALPHA-ANDROSTAN 3-ONE AZINE",
"17 BETA-[1-KETOETHYL]-ANDROSTANE-3-ONE,17A-OL",
"17 BETA-[1-KETOETHYL]-ANDROSTANE-3B,17A-DIOL",
17 MG EUGENOLS,
17 MG NATURALLY-OCCURRING CAFFEINE,
17 MG S. CEREVISIAE,362
17.5 MG GINSENOSIDES,
170 MG GAMMA-LINOLENIC ACID,1290
170 MG OLEIC ACID,
175 MG MILK THISTLE (SILYBUM MARIANUM) SEED (FRUIT) EXTRACT,652
179 MG OF TOTAL OMEGA-9 FATTY ACIDS,
17A-DI METHYL-BOL(TM),
17A-DL METHYL-BOL(TM),
17A-ETHYL-ESTR-5(6)-ENE-3B-DIOL,
17A-HYDROXY-YOHIMBAN-16A-CARBOXYLIC-ACID METHYL ESTER,138
"17A-METHYL-1,4-ANDROSTADIENE-3,17DIOL",
"17A-METHYL-1,4-ANDROSTADIENE-3B, 17B-DIOL",
"17B-HYDROXY-2A,17B-DIMETHYL-5A-ANDROSTAN-3-ONE-AZINE",
"17B-HYDROXY-2A,17B-DIMETHYL-5A-NDROSTAN-3-ONE-AZINE",
"17B-HYRDOXY-2A,17B-DIMETHYL-5A-ANDROSTAN-3-ONE-AZINE",277
"17BETA-HYDROXY 2ALPHA, 17ALPHA-DIMETHYL 5ALPHA-ANDROSTAN 3-ONE AZINE",
"17BETA-HYDROXY 2ALPHA,17ALPHA-DIMETHYL 5ALPHA-ANDROSTAN 3-ENE-AZINE",
"17BETA-HYDROXY 2ALPHA,17ALPHA-DIMETHYL 5ALPHA-ANDROSTAN 3-ONE AZINE",
"17BETA-HYDROXY 2ALPHA,17BETA-DIMETHYL 5ALPHA-ANDROSTAN 3-ONE AZINE",277
17MG OF NATURALLY OCCURRING CAFFEINE,
18 MG S. CEREVISIAE,362
18 MILLIGRAMS OF NATURALLY-OCCURRING CAFFEINE,
18% EPA,1011
18% ESCIN,1223
18-METHYLEST-4EN-3-ONE-17B-OL,
18-METHYLESTR-4-EN-3-ONE-17B-OL,
18-METHYLESTR-4EN-3-ONE-17B-OL,
180 MG OF GLANDULAR CONCENTRATES,800
180 MG PHOSPHATIDYL CHOLINE,1098
180 MG S. CEREVISIAE,362
18:0 PALMITIC ACID,1603
18:0 STEARIC ACID,7
18:1 ((DELTA)3) CIS-OLEIC ACID,262
18:1 ((DELTA)9) CIS-OLEIC ACID,262
18:1 (D9) CIS-OLEIC ACID,
18:1 OLEIC ACID,262
"18:2 ((DELTA)9,12) CIS-A-LINOLEIC ACID",262
"18:2 (D9,12) CIS-A-LINOLEIC ACID",1537
"18:2 ({DELTA}9,12) CIS-{ALPHA}-LINOLEIC ACID",1537
"18:3 ((DELTA)9,12,15) CIS-(ALPHA)-LINOLENIC ACID",
"18:3 (D9,12,15) CIS-A-LINOLENIC ACID",1029
"18:3 ({DELTA}6,9,12) CIS-{GAMMA}-LINOLENIC ACID",1290
18:3 LINOLEIC ACID,1537
18MG OF NATURALLY-OCCURRING CAFFEINE,
19 MG S. CEREVISIAE,362
"19-NORANDROST-4ENE-3B-OL,17-ONE",
19-NORANDROSTA-DROL(TM),
"19-NORANDROSTENE-3B-0L,17-ONE",
19-NORANDROSTENEDIOL,
19-NORDEHYDROEPIANDROSTERONE,
190 MG OLEIC ACID,262
19NOR-DEHYDROEPIZNDROSTERONE,
1:1 KREBS CYCLE INTERMEDIATES {BLEND},2329
1C-DECARBOXYLASE(TM),
2 MG AS CA-FRUCTOBORATE,
2 MG OF LYCOPENE,164
2 MG ORGANIC SUPERCRITICAL EXTRACT,
2 MG ORGANIC {GINGER} SUPERCRITICAL EXTRACT,70
2 MG S. CEREVISIAE,362
2 MG {GINGER} SUPERCRITICAL EXTRACT,70
2% ASTAXANTHIN,12
2% URSOLIC ACIDS,
2% YOHIMBE ALKALOID,
2(S)-AMINO-6-BORONOHEXANOIC ACID,1615
"2, 17A -DIMETHYL 17B-HYDROXY-5A-ANDROST-1EN-3-ONE",
"2, 17A-DIMETHYL-17B-HYDROXY-5A-ANDROST-2-ENE",
"2, 17A-DIMETHYL-17B-HYDROXY-5A-ANDROSTAN-1-ENE-3-ONE",
"2,000 IU AS VITAMIN A ACETATE",201
"2,000 IU AS VITAMIN A PALMITATE",201
"2,000 IU AS {VITAMIN A} PALMITATE",201
"2,000 MG DANDELION ROOT 4:1 EXTRACT",
"2,000 MG OF ALOE VERA INNER GEL",6
"2,000 MG SAFFLOWER OIL",441
"2,085 IU FROM BETA CAROTENE",1016
"2,17-DIMETHYL-5-ANDROSTAN-17-OL-3,3'-AZINE",
"2,17A-DIMETHYL-17B-HYDROXY-5A-ANDROST-1-EN-3-ONE",
"2,17A-METHYL-5A-ANDROSTA-1-EN-17B-OL-3-ONE",
"2,300 MG LINOLEIC ACID",
"2,3A-EPITHIO-17A-METHYLETIOALLO CHOLAN-17B-OL",
"2,500 IU AS {VITAMIN A} PALMITATE",201
2-(DIMETHYLAMINO) ETHANOL,
2-ACETYLAMINO-3-(4-HYDROXYPHENYL)-PROPANOIC ACID,
2-AMINO 4-METHYL HEXANE HCL,
2-AMINO-3-(1 H-INDOL-3-YL) PROPANOIC ACID,
2-AMINO-3-(4-HYDROXYPHENYL) ETHANECARBOXYLIC ACID,
2-AMINO-3-(4-HYDROXYPHENYL) PROPANOIC ACID,
2-AMINO-3-PHENYLPROPANOIC ACID,
2-AMINO-4-(ETHYLCARBAMOYL) BUTYRIC ACID,
2-AMINO-4-(ETHYLCARBAMOYL)BUTYRIC ACID,607
2-AMINO-4-METHYLPENTANE CITRATE,
2-AMINO-5-(CARBAMOYLAMINO) PENTANOIC ACID,
2-AMINO-5-(CARBAMOYLAMINO)PENTANOIC ACID,
2-AMINO-5-(DIAMINOMETHYLIDENE-AMINO) PENTANOIC ACID,
2-AMINOETHANESULFONIC ACID,2060
2-CYANO-17A-METHYL-17B-ACETOXY-5A-ANDROST-2-ENE,
2-CYANO-17A-METHYL-17B-HYDROXY-ANDROST-3-ONE,
2-CYANO-17A-METHYL-17B-HYDROXY-ANDROSTAN-3-ONE,
2-CYCLOHEXYLETHYLAMINE,
2-DIMETHYLAMINOETHANOL,1303
2-PENYL-BENZO{H}CHROMEN-4-ONE,
2-PHENYL-2-ETHANAMINE,
2-PHENYL-BENZO[H]CHROMEN-4-ONE,
"2-PROPENOIC ACID, 3-(4-HYDROXY-3-METHOXYPHENYL)",
2.2 MG SUPERCRITICAL EXTRACT,
2.4 MG ORGANIC SUPERCRITICAL {GINGER} EXTRACT,
2.4 MG ORGANIC SUPERCRITICAL {TURMERIC} EXTRACT,
2.4 MG SUPERCRITICAL {TURMERIC} EXTRACT,48
2.5 MG WITHANOLIDES,
2.5% PIPERINE,
"2.5% TRITERPENE GLYCOSIDES,",
2.5% URSOLIC ACID AND OLEANOLIC ACID,
2.5G FOS,439
2.5G INULIN,1126
2.8 MG ORGANIC {GINGER} SUPERCRITICAL EXTRACT,
2.8 MG SUPERCRITICAL EXTRACT,
"20 ENERGIZED, BONE-BUILDING ELEMENTAL MINERALS AND NUTRIENTS",
20 MG AS PYRIDOXINE HCL,110
20 MG BILBERRY EXTRACT 100:1,20
20 MG CAFFEINE,367
20 MG ELLAGIC ACID,1236
20 MG OF SILICA,146
20 MG OF TOTAL OMEGA-9 FATTY ACIDS,547
20 MG ORGANIC SUPERCRITICAL EXTRACT,
20 MG PROANTHOCYANIDINS,80
20 MG PS,
20 MG S. CEREVISIAE,362
20 MG STEARIDONIC ACID,
20 MG SUPERCRITICAL EXTRACT,
20 MG TURMERONES FROM SUPERCRITICAL EXTRACT,
20% ANDROGRAPHOLIDE,324
20% ASIATICOSIDES,404
20% BITTERS,
20% PENTACYCLIC TRITERPENOIDS,
20% PHOSPHATIDYLETHANOLAMINE,
20% PHOSPHATIDYLSERINE,91
20% SENNOSIDES,161
20% TRITERPENOIDS,
20% [2000 IU] AS RETINYL PALMITATE,
20- HYDROXYECDYSONE,149
20-25% CHONDROITIN SULFATE,40
20-BETA-HYDROXYECDYSTERONE,1277
20-BETAHYDROXYECDYSTERONE,1277
20-HYDROXY ECDYSTERONE,1581
20-HYDROXY-ECDYSONE,1581
20-HYDROXYECDYSONE,1581
20-HYDROXYECDYSTERONE,1581
20-HYDROXYECDYSTERONE 60%,
200 MCG AS ADENOSYLCOBALAMIN,1612
200 MCG AS CALCIUM FOLINATE,
200 MCG AS VITAMIN K1,208
200 MG 10% FLORAGLO(R) LUTEIN,166
200 MG AS PYRIDOXINE HCL,110
200 MG CAFFEINE,367
200 MG HYDROETHANOLIC EXTRACT,
200 MG OF BETAINE HYDROCHLORIDE,19
200 MG OF CHOLINE BITARTRATE,39
2000 IU AS {VITAMIN A} PALMITATE,201
200MG MAGNESIUM,82
2083 IU FROM BETA CAROTENE,1016
20:1 SHIITAKE MUSHROOM EXTRACT,241
20:1 {ACAI} EXTRACT,1
20:5 - EPA,1011
20MG SYNEPHRINE,351
21 MG NET MIXED TOCOPHEROLS,
21% NAT. VIT. C,10
21.5 MG AS NIACINAMIDE,204
210-270 MG EPA,1011
212 MG ALPHA LINOLENIC ACID,
219 MG OF TOTAL OMEGA-6 FATTY ACIDS,
225 MG KAVALACTONES,
225MG FROM COFFEA ARABICA,367
22:6 - DHA,1010
23 MG HYDROETHANOLIC EXTRACT,
